genre,female_year_2022
trap,0.027
rap,0.037
hip hop,0.04
classic rock,0.061
alternative metal,0.062
rock,0.068
trap latino,0.075
modern rock,0.113
reggaeton,0.134
pop rap,0.158
mellow gold,0.164
latin,0.22
edm,0.303
tropical house,0.326
k-pop,0.346
latin pop,0.39
pop,0.507
r&b,0.551
dance pop,0.607
