genre,female_year_2022
k-pop,0.346
pop,0.507
r&b,0.551
dance pop,0.607
latin pop,0.39
latin,0.22
reggaeton,0.134
modern rock,0.113
trap latino,0.075
tropical house,0.326
pop rap,0.158
edm,0.303
mellow gold,0.164
rock,0.068
classic rock,0.061
rap,0.037
hip hop,0.04
trap,0.027
alternative metal,0.062
